
Region,Price_Toman_per_m2,Price_Million_Toman_per_m2,Price_USD_per_m2
Region 1,209900000,209.9,1968.12001875293
Region 2,172750000,172.75,1619.7843413033286
Region 3,192250000,192.25,1802.625410220347
Region 4,129650000,129.65,1215.6586966713548
Region 5,137700000,137.7,1291.139240506329
Region 6,153470000,153.47,1439.0060947022973
Region 7,108460000,108.46,1016.9714017815284
Region 8,108140000,108.14,1013.9709329582747
Region 9,90400000,90.4,847.6324425691514
Region 10,82770000,82.77,776.0900140646976
Region 11,83670000,83.67,784.5288326300985
Region 12,76440000,76.44,716.7369901547116
Region 13,104710000,104.71,981.8096577590248
Region 14,91480000,91.48,857.7590248476324
Region 15,67000000,67.0,628.2231598687295
Region 16,66530000,66.53,623.8162212845757
Region 17,68640000,68.64,643.6005625879044
Region 18,57670000,57.67,540.7407407407408
Region 19,61230000,61.23,574.1209563994374
Region 20,67800000,67.8,635.7243319268636
Region 21,83340000,83.34,781.4345991561181
Region 22,91460000,91.46,857.5714955461791
